# ID  X  Y  MAGNITUDE  FLUX
    1    669.82      6.03    19.366      179.28
    2    692.68      3.32    20.230       80.92
    3     15.76      4.44    17.164     1362.72
    4    541.71      3.98    19.666      135.96
    5    323.29      6.04    20.779       48.78
    6    426.90     10.83    19.406      172.89
    7    473.23      6.50    19.939      105.76
    8    381.08      6.72    20.430       67.32
    9    420.42      6.99    20.156       86.64
   10    534.18      8.13    19.254      198.76
   11    398.34      8.93    19.654      137.47
   12     66.02     10.46    19.222      204.70
   13    733.05      7.83    19.345      182.82
   14    274.36     11.53    19.789      121.48
   15    775.55     10.20    19.803      119.91
   16     66.31     10.21    19.494      159.43
   17    410.10     12.52    19.020      246.69
   18    419.32     13.37    20.164       85.95
   19    500.62      9.31    19.502      158.25
   20    112.91     16.81    18.897      276.28
   21    683.27     15.95    20.459       65.55
   22    654.60     16.47    19.578      147.54
   23    231.67     15.59    19.273      195.28
   24    161.48     28.29    18.994      252.64
   25    490.35     17.91    20.106       90.68
   26    750.70     20.48    19.807      119.46
   27    207.20     20.11    18.892      277.52
   28    336.29     35.49    20.619       56.56
   29    480.14     21.93    19.560      149.97
   30    643.90     19.40    19.117      225.62
   31    410.92     21.43    19.762      124.54
   32    254.04     22.69    18.863      285.03
   33    123.90     23.58    18.824      295.35
   34    231.48     24.61    20.203       82.92
   35    181.92     25.03    18.966      259.08
   36    517.79     27.00    19.710      130.63
   37    522.40     24.50    19.370      178.72
   38     27.23     25.87    17.978      643.76
   39    259.91     24.32    19.198      209.34
   40    463.61     26.06    19.943      105.42
   41    593.14     26.17    19.658      137.01
   42    620.21     25.95    18.851      288.20
   43    779.58     26.05    20.219       81.75
   44    517.58     26.85    19.576      147.82
   45    569.32     29.64    19.587      146.23
   46    188.95     29.45    19.105      227.97
   47    334.64     27.21    19.372      178.30
   48    408.85     29.68    19.315      187.99
   49    792.22     30.12    20.202       83.02
   50    629.12     28.46    19.940      105.70
   51    670.68     30.61    19.248      199.94
   52    383.11     30.86    19.688      133.32
   53    258.84     36.60    18.081      585.41
   54    537.51     33.44    19.554      150.75
   55    669.90     31.14    19.350      181.91
   56    670.34     30.82    19.305      189.62
