# ID  X  Y  MAG_F336W  MAG_F555W  FLUX_F336W  FLUX_F555W
    1    562.89     52.67    18.576    17.181      371.12     1341.80
    2    789.05     52.62    19.783    18.874      122.08      282.06
    3    188.94     53.95    19.957    19.297      104.03      191.05
    4    468.65     55.34    19.750    19.126      125.91      223.74
    5    717.21     54.22    19.403    18.918      173.33      270.84
    6    555.39     58.60    20.427    19.211       67.45      206.77
    7    707.39     58.57    19.649    19.293      138.18      191.81
    8    723.13     58.18    19.449    19.115      166.09      225.94
    9    294.21     59.98    19.736    18.968      127.50      258.60
   10    355.35     59.85    19.257    18.190      198.31      529.59
   11    578.63     61.10    19.372    18.347      178.40      458.45
   12    629.80     60.83    18.907    18.232      273.73      509.55
   13    710.18     61.62    19.911    19.603      108.58      144.14
   14    492.69     62.34    19.196    18.168      209.73      540.30
   15    653.11     62.49    19.714    18.996      130.09      252.05
   16    458.58     63.41    19.542    18.310      152.47      474.32
   17    590.41     63.91    19.466    18.260      163.60      496.67
   18     70.32     64.28    19.766    19.283      124.00      193.57
   19    287.36     64.62    18.957    17.712      261.27      822.26
   20    556.46     64.92    19.476    19.063      162.10      236.92
   21    690.68     64.32    18.627    17.493      354.32     1006.41
   22    736.58     65.55    19.319    18.672      187.16      339.93
   23    126.35     66.25    18.810    18.145      299.12      551.94
   24    167.65     67.00    21.194    19.994       33.30      100.53
   25    191.71     66.19    18.304    16.835      477.00     1844.85
   26    348.58     66.12    19.699    19.063      131.97      236.94
   27    380.18     66.24    19.692    18.717      132.80      326.11
   28    393.80     66.46    21.061    19.611       37.65      143.13
   29    466.23     66.64    19.591    18.629      145.81      353.60
   30    502.53     66.66    21.561    20.310       23.74       75.15
   31    666.43     66.24    19.553    19.112      150.95      226.50
   32    210.42     67.29    19.173    18.254      214.21      499.56
   33    442.99     67.93    18.694    17.836      333.03      733.88
   34    603.35     68.22    19.553    18.793      151.01      303.99
   35     90.51     70.01    19.992    19.495      100.75      159.26
   36    400.96     69.79    19.772    18.784      123.42      306.40
   37    472.35     70.27    20.006    19.728       99.42      128.44
   38    558.07     70.98    20.129    19.943       88.82      105.42
   39    158.31     72.01    19.800    18.786      120.18      305.78
   40    314.50     71.90    20.306    19.727       75.41      128.60
   41    534.52     71.51    19.527    18.977      154.56      256.55
   42    771.37     71.10    20.656    19.978       54.67      102.06
   43    789.79     72.06    20.098    19.536       91.33      153.26
   44    669.89     72.34    19.066    18.237      236.48      507.45
   45    695.71     73.06    19.419    18.411      170.77      432.14
   46    167.02     73.36    20.758    19.488       49.77      160.28
   47    383.60     75.14    21.689    20.162       21.11       86.16
